video,question,answer_a,answer_b,answer_c,answer_d,correct_answer,score,reasoning
1960s_Hockey_Fight_-_Detroit_Red_Wings_vs._New_York_Rangers_-_WKBD-TV_Excerpts_11_13_1966,"What does the on-screen text 'WKBD-TV REPLAY' indicate about the visual content shown in Segment 2?","The visual content is a replay of a previous broadcast from WKBD-TV",,,,a,3,"Answer is nearly tautological — REPLAY in the OCR directly signals replay; minimal cross-modal reasoning needed. Question is clear but trivial."
1960s_Hockey_Fight_-_Detroit_Red_Wings_vs._New_York_Rangers_-_WKBD-TV_Excerpts_11_13_1966,"What was the context of the altercation shown in Segment 2, and how did the on-screen text relate to the visual content?","The altercation was a hockey fight during a game, and the 'WKBD-TV REPLAY' text indicates it was a replay of a broadcast from WKBD-TV.",,,,a,4,"Genuinely cross-modal: sport identity (hockey) requires Segment 1 visuals; replay meaning requires Segment 2 OCR. Compound question but clear. Good discriminating question."
1960s_Hockey_Fight_-_Detroit_Red_Wings_vs._New_York_Rangers_-_WKBD-TV_Excerpts_11_13_1966,"What was the score of the hockey game during the physical confrontation shown on screen?","2-3",,,,a,2,"Generator's own reasoning field flags this as problematic. Segment 2 evidence shows military uniforms — mismatched with hockey fight. Score '2-3' is a VLM caption detail that may be hallucinated. Cross-segment evidence coherence is broken."
ABC_Network_-_Future_Cop_-_The_Kansas_City_Kid_-_WCVB-TV_Complete_Broadcast_4_30_1977,"What was the total amount mentioned in the speech that was placed with Geary Investments Limited?","$23,000",,,,a,2,"Factually correct and clear, but single-modality speech question. Generator flags it as not requiring multiple modalities. Unsuitable for cross-modal benchmark — pure transcript lookup."
ABC_Network_-_Future_Cop_-_The_Kansas_City_Kid_-_WCVB-TV_Complete_Broadcast_4_30_1977,"According to the visual description and the speech, what was the context of the $23,000 being placed with Geary Investments Limited?","The context is unclear; the visual shows a police officer but the speech mentions an investment amount without additional context.",,,,a,1,"FLAGGED: Answer is 'context is unclear' — generator's own reasoning explicitly flags this as invalid. Unanswerable question with an undefined correct answer. Should be filtered from benchmark."
ABC_Network_-_Future_Cop_-_The_Kansas_City_Kid_-_WCVB-TV_Complete_Broadcast_4_30_1977,"Who is the person identified as 'Eve DeFalco' according to the speech and visual context?","Eve DeFalco is a person mentioned in the speech, but the visual does not identify her; the visual shows a man in a police uniform.",,,,a,1,"FLAGGED: Generator explicitly flags as invalid — no clear answer from evidence. Question has misleading presupposition that Eve DeFalco is visually identified. Answer is effectively a non-answer."
Alexander_s_Star_by_Ideal_-_Don_t_Pick_It_Up_Commercial_1982,"What product is described in the speech as being unable to put down, and what visual evidence supports this description?","Alexander Starr (a puzzle), shown as a Pyraminx puzzle",,,,a,3,"Cross-modal structure is good. However answer may be factually incorrect: VLM captioned the puzzle as 'Pyraminx' but the product is Alexander's Star (different puzzle). Illustrates VLM hallucination risk propagating into answers."
Alexander_s_Star_by_Ideal_-_Don_t_Pick_It_Up_Commercial_1982,"According to the on-screen text and the visual description, what is the product being demonstrated by Alexander Starr?","A Star Cube",,,,a,2,"False cross-modal framing. OCR reference is 'em' — a 2-character watermark fragment with no informational value. Answer derives from VLM visual caption alone. Claims OCR contribution that doesn't exist."
cpb-aacip-507-4b2x34n67h,"What is the key economic concept discussed in the speech that relates to the used car market example in the document's table of contents?","lemons in the used car business",,,,a,4,"Genuinely cross-modal: speech provides the concept name; OCR table of contents confirms the document topic. Good pairing. Slightly awkward phrasing but answer is clear and grounded."
cpb-aacip-507-4b2x34n67h,"What is the title of the person speaking in the second segment, and how does the on-screen text support this?","Roger Rosenblatt",,,,a,2,"Question asks for 'title' but answer provides a person's name — category mismatch. Both speech attribution and OCR give the same name, so cross-modal synthesis is redundancy not integration. Misleading question framing."
cpb-aacip-507-4b2x34n67h,"What organization does Dr. Berg represent according to the visual description and the speech?","the Department of Family Medicine at the University of Washington",,,,a,2,"Mislabeled as cross-modal. Answer entirely in speech transcript. Visual (NEWS HOUR backdrop) provides no affiliation info. Generator's own reasoning flags this as problematic. Single-modality speech question."
cpb-aacip-507-4b2x34n67h,"What is the focus of the segment discussing Edgar Doctorow, and how does the visual environment support this topic?","The focus is on Edgar Doctorow's literary works, and the visual environment of the bookshelf supports this by showing a book-filled setting.",,,,a,3,"Cross-modal structure present but shallow. Visual (bookshelf) only trivially confirms literary topic that speech makes obvious. Low discriminating value — non-viewer with world knowledge could infer bookshelf = book discussion."
cpb-aacip-507-dv1cj8881m,"What specific detail about the civilian presence on the submarine was mentioned in the speech, and how is this indicated in the visual context?","Civilian guests were at control stations on the submarine at the time",,,,a,2,"Visual shows Admiral's portrait — irrelevant to civilian presence detail. Cross-modal framing is misleading. Answer entirely in speech. Generator rationalizes the visual contribution weakly as 'the person speaking about the issue.'"
cpb-aacip-507-dv1cj8881m,"According to the visual description and on-screen text, what was the object being discussed during the medical procedure segment?","A violin neck",,,,a,1,"FLAGGED: Completely broken. Visual (violin neck) and speech (cardiac catheterization) are from mismatched temporal segments. Question premise is false — violin was not discussed during medical procedure. Answer contradicts question framing."
cpb-aacip-507-dv1cj8881m,"According to the on-screen text and speech, which organization does Rear Admiral Craig Quigley represent?","United States Department of Defense",,,,a,3,"Answer defensible (speech says Deputy Asst Secretary of Defense) but OCR says 'US Navy' — creates genuine ambiguity between two different organizations. Evaluating a system answer of 'US Navy' vs 'Department of Defense' would be contentious."
cpb-aacip-526-125q815n1x,"What is the title of Adam Smith's show as indicated by the on-screen text during his commentary?","Adam Smith's Money World",,,,a,3,"Clear and correct. But OCR lookup with redundant speech confirmation — no cross-modal integration needed. A system with only OCR could answer this. Too trivial for a cross-modal benchmark."
cpb-aacip-526-125q815n1x,"According to the visual description, what specific visual element in the background of Adam Smith's commentary relates to the topic of the Persian Gulf crisis?","A vase with sticks in the background",,,,a,1,"FLAGGED: False premise. Generator's own reasoning admits no visual element relates to the Persian Gulf crisis — yet the question asks for one. Answer is 'the vase' by default, which explicitly does NOT relate to the topic."
cpb-aacip-526-125q815n1x,"What specific economic concern does Adam Smith mention in his commentary that is reflected in the on-screen graphic showing the market graph?","Interest rates",,,,a,1,"FLAGGED: Generator's own reasoning field admits this question is invalid — 'The visual description doesn't mention a market graph, so this is a problem.' Hallucinated visual element in question premise."
